property_type,borough,surface_covered_in_m2,price_per_m2,lat,lon,price_aprox_usd
apartment,Azcapotzalco,70.0,11611.42857,19.471896,-99.224024,42823.57
apartment,Coyoacán,63.0,15873.01587,19.309208,-99.171906,52698.97
house,Coyoacán,260.0,19038.46154,19.306892,-99.105556,260798.09
apartment,Coyoacán,60.0,15083.33333,19.304501,-99.123121,47681.26
apartment,Benito Juárez,75.0,39906.66667,19.39365,-99.14769,157690.64
apartment,Cuauhtémoc,64.0,71750.0,19.409369,-99.171906,241936.33
apartment,Benito Juárez,75.0,16800.0,19.36269,-99.150565,66384.96
apartment,Álvaro Obregón,150.0,32000.0,19.3392293,-99.2189838,252895.12
apartment,Gustavo A. Madero,208.0,12019.23077,19.464712,-99.124872,131716.2
apartment,Iztacalco,51.0,33313.72549,19.400097,-99.122093,89514.33
apartment,Benito Juárez,97.0,32474.2268,19.367025,-99.170349,165962.42
apartment,Azcapotzalco,75.0,19388.88,19.484532,-99.207027,76614.89
apartment,Tlalpan,65.0,20307.69231,19.278198,-99.200831,69546.15
house,Iztacalco,450.0,9777.777778,19.3972156,-99.0648632,231875.5
apartment,Iztacalco,74.0,9756.756757,19.383251,-99.105499,38039.64
apartment,Cuauhtémoc,75.0,13176.66667,19.461871,-99.129227,52067.41
apartment,Cuauhtémoc,60.0,23566.66667,19.422398,-99.167129,74498.68
apartment,Cuauhtémoc,164.0,33536.58537,19.41498,-99.177444,289844.37
apartment,Azcapotzalco,52.0,16883.84615,,,46256.62
apartment,Coyoacán,63.0,31945.90476,19.303736,-99.163605,106061.54
apartment,Miguel Hidalgo,75.0,10017.78667,19.453513,-99.210223,39585.14
house,Tlalpan,,,19.3026056362,-99.2058026791,207057.88
house,Iztapalapa,198.0,16666.66667,19.3661948918,-99.1211414337,173906.62
apartment,Álvaro Obregón,120.0,28500.0,19.365766,-99.263112,180187.77
apartment,Venustiano Carranza,50.0,13180.0,19.439037,-99.119514,34720.39
apartment,Coyoacán,76.0,9932.894737,,,39773.02
house,Álvaro Obregón,300.0,10200.0,19.367477,-99.222025,161220.64
apartment,Álvaro Obregón,66.0,13636.36364,19.384327,-99.215523,47417.83
apartment,Iztapalapa,60.0,10983.33333,19.317698,-99.061256,34720.39
apartment,Cuauhtémoc,100.0,27206.67,19.422201,-99.159447,143342.37
apartment,Azcapotzalco,90.0,14444.44444,19.503195,-99.206723,68508.67
apartment,Cuauhtémoc,74.0,57837.83784,19.405298,-99.164986,225498.15
apartment,Benito Juárez,95.0,33684.21053,19.3687777,-99.1897886,168636.73
apartment,Gustavo A. Madero,59.0,11016.94915,19.524143,-99.160149,34246.21
apartment,Iztapalapa,65.0,9261.538462,19.325608,-99.06112,31717.26
apartment,Venustiano Carranza,40.0,14816.675,19.457685,-99.121754,31225.54
apartment,Benito Juárez,100.0,30000.0,19.3677299,-99.1527773,158059.45
apartment,Álvaro Obregón,70.0,23228.57143,19.332149,-99.244008,85668.22
apartment,Cuauhtémoc,243.0,40656.90535,19.420103,-99.171297,520522.86
house,Álvaro Obregón,148.0,10234.32432,19.352528,-99.217276,79822.08
house,Azcapotzalco,320.0,10000.0,19.481972,-99.199944,168596.74
apartment,Iztacalco,64.0,26562.5,19.410307,-99.065399,89567.02
